Age,CGPA,Financial_Stress,Semester_Credit_Load,Mental_Status,Sleep_Schedule,Extracurricular,Therapy,Exercise,Gender_Female,Gender_Male,Course_Business,Course_Computer Science,Course_Engineering,Course_Law,Course_Medical,Course_Others
18.0,2.855,1,19,0,0,0,-1,1,1,0,0,0,0,0,1,0
19.0,2.605,5,27,-1,0,0,-1,0,0,1,0,0,0,0,1,0
22.0,2.97,1,28,0,0,0,-1,0,0,1,0,1,0,0,0,0
24.0,2.67,1,16,-1,0,-1,-1,-1,0,1,1,0,0,0,0,0
20.0,3.315,0,17,-1,-1,1,-1,-1,1,0,0,0,1,0,0,0
20.0,2.4,5,16,-1,0,-1,-1,0,0,1,0,0,0,0,0,1
23.0,2.875,2,19,-1,1,0,-1,1,0,1,0,1,0,0,0,0
23.0,2.68,2,26,0,0,0,0,0,0,1,0,0,0,1,0,0
26.0,2.38,3,28,0,1,0,0,-1,0,1,0,0,0,1,0,0
20.0,2.4,4,20,-1,-1,-1,0,0,1,0,0,0,1,0,0,0
21.0,3.21,1,24,0,-1,-1,-1,0,1,0,0,0,1,0,0,0
25.0,2.895,2,15,0,1,-1,-1,0,1,0,0,0,0,1,0,0
26.0,2.845,2,15,-1,1,-1,-1,-1,1,0,1,0,0,0,0,0
27.0,3.495,2,19,1,1,0,1,-1,0,1,0,0,0,0,1,0
21.0,3.505,0,19,0,0,0,0,0,0,1,0,0,0,1,0,0
18.0,3.16,5,22,-1,-1,1,-1,1,1,0,0,1,0,0,0,0
24.0,3.605,0,17,0,1,0,-1,-1,0,1,0,1,0,0,0,0
20.0,2.265,2,27,-1,1,0,0,0,1,0,0,0,0,0,1,0
18.0,2.825,4,25,-1,0,-1,-1,0,0,1,0,0,0,0,1,0
23.0,2.99,3,18,0,1,0,0,0,1,0,0,0,0,0,1,0
21.0,3.33,0,24,-1,1,0,-1,1,0,1,0,0,0,1,0,0
21.0,3.375,0,19,0,-1,0,-1,1,0,1,1,0,0,0,0,0
22.0,3.41,0,26,1,0,-1,-1,1,1,0,0,0,0,0,1,0
22.0,3.21,0,20,0,0,-1,-1,0,1,0,0,0,0,1,0,0
18.0,3.285,0,21,0,0,0,-1,-1,1,0,0,0,0,0,1,0
18.0,2.9251143268308284,1,24,0,0,1,-1,-1,1,0,0,0,1,0,0,0
18.0,2.66,2,22,-1,0,1,-1,0,0,1,0,1,0,0,0,0
21.0,2.775,3,21,-1,-1,0,-1,1,0,1,0,0,0,0,1,0
18.0,2.9,3,18,0,-1,0,-1,0,1,0,0,0,0,1,0,0
22.0,3.065,1,17,0,0,0,-1,1,0,1,0,0,0,1,0,0
19.0,2.59,3,24,-1,1,1,0,1,0,1,1,0,0,0,0,0
19.0,2.96,4,24,-1,0,-1,-1,0,1,0,0,0,0,0,0,1
18.0,3.14,1,16,0,0,-1,-1,-1,0,1,0,0,0,1,0,0
26.0,3.32,4,28,0,0,-1,-1,0,1,0,0,0,0,0,1,0
19.0,3.125,0,25,1,-1,-1,0,-1,1,0,1,0,0,0,0,0
21.0,3.315,0,27,1,0,-1,-1,0,1,0,0,0,0,0,1,0
20.0,2.45,5,26,-1,-1,0,0,-1,0,1,0,0,0,1,0,0
18.0,3.08,1,24,0,1,0,-1,0,1,0,0,0,0,1,0,0
22.0,3.115,2,15,0,-1,-1,1,-1,0,1,0,0,1,0,0,0
18.0,2.95,2,20,0,0,0,-1,0,0,1,0,0,1,0,0,0
23.0,2.9251143268308284,4,16,0,-1,1,-1,-1,0,1,0,0,0,0,0,1
23.0,3.15,4,24,-1,0,0,-1,-1,1,0,0,0,0,0,1,0
23.0,3.56,4,26,1,1,1,-1,0,0,1,0,0,0,1,0,0
23.0,3.205,4,29,0,1,1,-1,0,1,0,0,0,0,0,1,0
22.0,2.71,3,20,-1,0,0,-1,-1,1,0,0,0,0,1,0,0
